service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012015091020160607,1,1,1,1,1,1,1,20150910,20160607
0000000022015091020160607,1,1,1,1,1,1,0,20150910,20160607
0000000022015100120160607,1,1,1,1,1,1,0,20151001,20160607
0000000022016020120160607,1,1,1,1,1,1,0,20160201,20160607
0000000032015091020160607,1,1,1,1,1,1,0,20150910,20160607
0000000052015091020160607,0,0,0,0,0,0,1,20150910,20160607
0000000092015091020160607,1,1,1,1,1,0,0,20150910,20160607
0000000092015092120160607,1,1,1,1,1,0,0,20150921,20160607
0000000092016020120160607,1,1,1,1,1,0,0,20160201,20160607
0000000102015091020160607,1,1,1,1,1,0,0,20150910,20160607
0000000102016020120160607,1,1,1,1,1,0,0,20160201,20160607
0000000252015091020160607,0,0,0,0,0,1,0,20150910,20160607
0000000592015091020160607,1,1,1,1,1,1,0,20150910,20160607
0000000592015112020160607,1,1,1,1,1,1,0,20151120,20160607
0000000602015091020160607,1,1,1,1,1,1,0,20150910,20160607
0000000602015100720160607,1,1,1,1,1,1,0,20151007,20160607
0000000602015112020160607,1,1,1,1,1,1,0,20151120,20160607
0000000622015091020160607,0,0,0,0,0,0,1,20150910,20160607
0000000622015112020160607,0,0,0,0,0,0,1,20151120,20160607
0000000662015091020160607,1,1,1,1,1,0,0,20150910,20160607
0000000662015100320160607,1,1,1,1,1,0,0,20151003,20160607
0000000662015100720160607,1,1,1,1,1,0,0,20151007,20160607
0000000662015112020160607,1,1,1,1,1,0,0,20151120,20160607
0000000672015091020160607,1,1,1,1,1,0,0,20150910,20160607
0000000672015100320160607,1,1,1,1,1,0,0,20151003,20160607
0000000672015100720160607,1,1,1,1,1,0,0,20151007,20160607
0000000672015102620160607,1,1,1,1,1,0,0,20151026,20160607
0000000672015112020160607,1,1,1,1,1,0,0,20151120,20160607
0000000682015100720160607,1,1,1,1,0,0,0,20151007,20160607
0000000682015120920160607,1,1,1,1,0,0,0,20151209,20160607
0000000692015100720160607,0,0,0,0,1,0,0,20151007,20160607
0000000692015120920160607,0,0,0,0,1,0,0,20151209,20160607
0000000772015091020160607,0,0,0,0,0,1,0,20150910,20160607
0000000772015100320160607,0,0,0,0,0,1,0,20151003,20160607
0000000772015100720160607,0,0,0,0,0,1,0,20151007,20160607
0000000772015102620160607,0,0,0,0,0,1,0,20151026,20160607
0000000772015112020160607,0,0,0,0,0,1,0,20151120,20160607
0000000822015091020160607,0,0,0,0,0,1,0,20150910,20160607
0000000822015100320160607,0,0,0,0,0,1,0,20151003,20160607
0000000822015100720160607,0,0,0,0,0,1,0,20151007,20160607
0000000822015112020160607,0,0,0,0,0,1,0,20151120,20160607
0000001092015091020160607,1,1,1,1,1,1,0,20150910,20160607
