stop_id,arrival_time,route_short_name,trip_headsign,monday,tuesday,wednesday,thursday,friday,saturday,sunday
477,05:01:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
479,05:02:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
251,05:03:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
236,05:04:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
249,05:04:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
253,05:04:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
113,05:05:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
234,05:05:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
2501,05:05:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
19,05:05:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
17,05:05:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
237,05:06:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
23,05:06:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
31,05:06:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
21,05:07:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
235,05:07:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
29,05:07:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
491,05:08:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
2954,05:08:00,8,Roncafort,1,1,1,1,1,1,0
128,05:08:00,8,Roncafort,1,1,1,1,1,1,0
125,05:09:00,8,Roncafort,1,1,1,1,1,1,0
311,05:09:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
105,05:09:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
488,05:09:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
313,05:10:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
102,05:10:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
231,05:10:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
127,05:10:00,8,Roncafort,1,1,1,1,1,1,0
122,05:11:00,8,Roncafort,1,1,1,1,1,1,0
38,05:11:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
121,05:11:00,8,Roncafort,1,1,1,1,1,1,0
326,05:11:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
233,05:11:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
124,05:12:00,8,Roncafort,1,1,1,1,1,1,0
92,05:12:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
40,05:12:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
108,05:12:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
107,05:12:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
470,05:12:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
2970,05:12:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
468,05:12:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
2,05:13:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
95,05:13:00,8,Roncafort,1,1,1,1,1,1,0
100,05:13:00,8,Roncafort,1,1,1,1,1,1,0
385,05:13:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
282,05:13:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
472,05:13:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
309,05:13:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
67,05:14:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
97,05:14:00,8,Roncafort,1,1,1,1,1,1,0
384,05:14:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
328,05:14:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
96,05:15:00,8,Roncafort,1,1,1,1,1,1,0
460,05:15:00,8,Roncafort,1,1,1,1,1,1,0
2538,05:15:00,8,Roncafort,1,1,1,1,1,1,0
317,05:15:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
68,05:15:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
280,05:15:00,9,"Piazza Dante ""Dogana""",1,1,1,1,1,0,0
319,05:15:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
321,05:16:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
134,05:16:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
464,05:16:00,8,Roncafort,1,1,1,1,1,1,0
136,05:16:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
463,05:17:00,8,Roncafort,1,1,1,1,1,1,0
415,05:17:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
138,05:17:00,3,"Conci ""Villazzano 3""",1,1,1,1,1,1,0
11,05:17:00,1,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
218,05:17:00,8,Roncafort,1,1,1,1,1,1,0
315,05:17:00,4,"Piazza Dante ""Pal. Regione""",1,1,1,1,1,0,0
