route_id,service_id,trip_id,trip_headsign,direction_id
543,0000000022015091020160607,0002697292015091020160607,Lavis Rosmini Segantini,0
543,0000000032015091020160607,0002697302015091020160607,Lavis Rosmini Segantini,0
400,0000000022015091020160607,0002697312015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002697322015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002697332015091020160607,Oltrecastello,0
406,0000000022015091020160607,0002697342015091020160607,Villamontagna P.Predaroi,0
406,0000000022015091020160607,0002697352015091020160607,Villamontagna P.Predaroi,0
406,0000000022015091020160607,0002697362015091020160607,Piazza Dante "Dogana",1
539,0000000032015091020160607,0002697382015091020160607,Piazza Dante "Pal. Regione",1
539,0000000102015091020160607,0002697392015091020160607,Bettini "Madonna Bianca",0
406,0000000032015091020160607,0002697402015091020160607,Villamontagna P.Predaroi,0
400,0000000022015091020160607,0002697412015091020160607,Oltrecastello,0
406,0000000032015091020160607,0002697422015091020160607,Piazza Dante "Dogana",1
404,0000000032015091020160607,0002697432015091020160607,Verona "Palazzo Stella",0
408,0000000102015091020160607,0002697442015091020160607,Piazza Dante "Dogana",1
400,0000000022015091020160607,0002697452015091020160607,Piazza Dante "Dogana",1
400,0000000022015091020160607,0002697462015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002697472015091020160607,Piazza Dante "Dogana",1
543,0000000032015091020160607,0002697482015091020160607,Piazza Dante "Dogana",1
539,0000000102015091020160607,0002697492015091020160607,Verona Menguzzato,0
539,0000000032015091020160607,0002697502015091020160607,Piazza Dante "Pal. Regione",1
402,0000000092015091020160607,0002697512015091020160607,Gardolo P.Le Neufahrn Sud,0
396,0000000032015091020160607,0002698132015091020160607,Travai Piazza Fiera,0
396,0000000102015091020160607,0002698142015091020160607,Zambra "Top Center",1
400,0000000022015091020160607,0002698152015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002698162015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002698172015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002698182015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002698192015091020160607,Oltrecastello,0
400,0000000022015091020160607,0002698202015091020160607,Oltrecastello,0
